Date,Open,High,Low,Close
14-October-2016,10246.20,10260.70,10140.65,10158.67,
17-October-2016,10160.70,10221.64,10027.00,10037.92,
18-October-2016,10084.38,10235.08,10079.68,10220.72,
19-October-2016,10256.12,10304.79,10197.08,10239.11,
20-October-2016,10304.00,10411.30,10292.31,10378.58,
21-October-2016,10383.11,10391.84,10243.67,10314.33,
24-October-2016,10334.53,10379.14,10296.55,10334.88,
25-October-2016,10290.64,10317.90,10203.06,10292.53,
26-October-2016,10254.45,10359.16,10107.89,10151.31,
27-October-2016,10070.79,10132.31,10024.84,10074.56,
28-October-2016,10122.54,10304.25,10098.27,10285.58,
30-October-2016,10355.14,10362.24,10286.89,10317.55,
1-November-2016,10330.26,10718.95,10319.86,10662.60,
2-November-2016,10528.28,10625.77,10458.75,10578.36,
3-November-2016,10551.70,10776.40,10490.67,10509.15,
4-November-2016,10533.96,10591.37,10160.24,10255.75,
7-November-2016,10374.48,10522.19,10374.42,10454.65,
8-November-2016,10495.11,10592.76,10437.58,10492.90,
9-November-2016,9918.75,10407.32,9630.22,10378.38,
10-November-2016,10530.02,11091.90,10530.02,11005.68,
11-November-2016,10826.89,10945.91,10742.76,10772.74,
15-November-2016,10727.61,10788.21,10224.06,10261.57,
16-November-2016,10352.03,10432.64,10083.77,10151.80,
17-November-2016,10173.63,10343.04,10133.63,10202.69,
18-November-2016,10215.58,10224.81,10016.00,10081.11,
21-November-2016,10092.07,10204.86,9731.52,9744.67,
22-November-2016,9823.91,10027.80,9819.68,10011.48,
23-November-2016,10101.10,10266.61,10079.33,10243.72,
24-November-2016,10214.20,10432.09,10156.87,10368.32,
25-November-2016,10425.17,10598.25,10417.81,10521.84,
28-November-2016,10526.07,10653.40,10486.00,10622.90,
29-November-2016,10672.66,10769.43,10585.17,10605.10,
30-November-2016,10599.04,10690.26,10484.49,10666.30,
1-December-2016,10711.50,10735.01,10455.88,10485.72,
2-December-2016,10452.37,10569.48,10351.78,10377.04,
5-December-2016,10405.59,10558.42,10361.40,10535.02,
6-December-2016,10568.29,10643.55,10541.46,10613.06,
7-December-2016,10646.53,10688.04,10530.62,10626.75,
8-December-2016,10724.63,10966.17,10724.63,10937.88,
9-December-2016,10995.49,10995.49,10876.57,10912.73,
12-December-2016,10900.44,10966.19,10853.24,10883.22,
13-December-2016,10874.83,10905.10,10723.43,10774.84,
14-December-2016,10687.77,10752.49,10577.48,10591.53,
15-December-2016,10502.66,10721.57,10468.19,10596.54,
16-December-2016,10641.25,10665.47,10417.55,10429.02,
19-December-2016,10440.06,10455.56,10333.47,10346.17,
20-December-2016,10364.54,10395.84,10201.48,10255.70,
21-December-2016,10290.54,10367.93,10232.81,10307.37,
22-December-2016,10301.79,10334.40,9986.63,10021.03,
23-December-2016,9987.30,10059.77,9900.71,9988.54,
26-December-2016,9962.86,9962.86,9671.77,9703.55,
27-December-2016,9683.58,9968.24,9619.72,9942.72,
28-December-2016,9964.24,10020.52,9902.14,9935.54,
29-December-2016,9921.30,10106.63,9920.36,10079.04,
30-December-2016,10097.93,10151.63,10070.27,10109.34,
2-January-2017,10127.93,10318.08,10075.73,10300.00,
3-January-2017,10352.74,10384.17,10288.35,10346.25,
4-January-2017,10379.09,10472.78,10320.01,10332.13,
5-January-2017,10392.43,10670.76,10392.43,10642.54,
6-January-2017,10690.22,10754.60,10600.73,10638.98,
9-January-2017,10692.19,10725.57,10603.05,10614.63,
10-January-2017,10626.16,10770.39,10602.32,10753.16,
11-January-2017,10806.77,11260.75,10798.29,11228.54,
12-January-2017,11286.88,11300.98,11091.48,11235.11,
13-January-2017,11295.06,11317.43,11140.12,11220.86,
16-January-2017,11261.76,11377.23,11176.71,11330.24,
17-January-2017,11363.35,11387.98,11137.24,11158.35,
18-January-2017,11192.99,11432.73,11178.00,11411.96,
19-January-2017,11433.03,11440.80,11308.33,11416.20,
20-January-2017,11410.82,11435.23,11101.80,11145.52,
23-January-2017,11150.91,11455.94,11148.23,11435.98,
24-January-2017,11473.07,11646.75,11469.32,11629.33,
25-January-2017,11687.49,11811.90,11665.21,11790.40,
27-January-2017,11813.44,11911.59,11721.77,11806.22,
30-January-2017,11777.12,11859.19,11668.66,11791.27,
31-January-2017,11777.45,11850.83,11640.65,11672.32,
1-February-2017,11701.30,11972.58,11574.21,11938.74,
2-February-2017,11946.79,12022.87,11773.24,11956.36,
3-February-2017,11969.57,12052.61,11811.72,11889.71,
6-February-2017,11949.94,12017.79,11829.27,11853.76,
7-February-2017,11873.16,11981.90,11628.72,11705.98,
8-February-2017,11830.05,11902.19,11704.93,11807.91,
9-February-2017,11821.14,11886.02,11601.49,11721.73,
10-February-2017,11792.45,11827.13,11646.07,11694.63,
13-February-2017,11692.90,11843.22,11672.64,11730.48,
14-February-2017,11769.82,11775.19,11524.27,11621.09,
15-February-2017,11623.86,11712.38,11402.65,11464.01,
16-February-2017,11482.07,11709.27,11349.44,11693.45,
17-February-2017,11734.59,11762.55,11582.38,11613.75,
20-February-2017,11626.79,11912.14,11540.08,11850.45,
21-February-2017,11882.79,12010.47,11873.22,11888.85,
22-February-2017,11953.18,11955.64,11790.88,11828.75,
23-February-2017,11805.04,11917.44,11777.88,11875.20,
27-February-2017,11885.71,11968.98,11824.62,11842.55,
28-February-2017,11849.40,11941.88,11833.97,11893.05,
1-March-2017,11929.64,12158.84,11924.02,12119.76,
2-March-2017,12210.73,12306.54,12010.50,12055.93,
3-March-2017,12046.97,12155.42,12010.27,12139.07,
6-March-2017,12174.13,12256.16,12058.07,12151.68,
7-March-2017,12176.62,12191.79,11907.10,11934.42,
8-March-2017,11970.28,11974.19,11664.27,11706.16,
9-March-2017,11685.80,11738.47,11605.71,11630.07,
10-March-2017,11667.80,11725.32,11513.11,11554.83,
14-March-2017,11663.83,11667.58,11488.41,11520.35,
15-March-2017,11559.45,11620.39,11507.95,11570.68,
16-March-2017,11641.86,11930.84,11641.86,11899.56,
17-March-2017,11974.27,12028.08,11820.23,11875.87,
20-March-2017,11889.37,11907.00,11757.15,11869.74,
21-March-2017,11883.90,11895.35,11764.38,11855.72,
22-March-2017,11751.08,11758.01,11635.69,11703.80,
23-March-2017,11778.22,11856.83,11755.23,11830.65,
24-March-2017,11874.07,11947.14,11836.11,11859.30,
27-March-2017,11820.67,11820.93,11531.12,11555.93,
28-March-2017,11598.09,11664.74,11578.71,11621.24,
29-March-2017,11668.06,11730.83,11616.40,11703.62,
30-March-2017,11737.52,11793.61,11644.16,11672.82,
31-March-2017,11697.90,11853.35,11693.98,11804.46,
3-April-2017,11833.09,11877.83,11802.70,11842.58,
5-April-2017,11898.68,12014.78,11896.86,11953.35,
6-April-2017,11943.20,12021.49,11794.99,12001.72,
7-April-2017,11996.32,12042.28,11817.36,11852.53,
10-April-2017,11878.73,11981.67,11853.93,11962.89,
11-April-2017,11874.86,11878.18,11731.48,11776.49,
12-April-2017,11819.97,11908.10,11681.41,11698.68,
13-April-2017,11698.52,11704.81,11346.58,11366.86,
17-April-2017,11342.15,11361.30,11216.75,11242.59,
18-April-2017,11258.21,11494.97,11016.35,11039.30,
19-April-2017,11006.92,11146.78,10897.92,11100.65,
20-April-2017,11139.46,11186.64,11055.32,11120.75,
21-April-2017,11217.17,11231.43,11014.70,11055.11,
24-April-2017,11079.57,11166.07,11004.75,11131.97,
25-April-2017,11187.48,11214.73,11099.59,11199.40,
26-April-2017,11241.53,11396.70,11158.11,11252.49,
27-April-2017,11284.15,11286.59,11123.26,11136.43,
28-April-2017,11149.03,11464.85,11105.66,11303.38,
2-May-2017,11361.76,11441.66,11201.25,11238.86,
3-May-2017,11264.60,11333.32,11133.41,11203.45,
4-May-2017,11307.86,11309.24,11040.55,11117.18,
5-May-2017,11126.22,11126.22,10775.32,10842.14,
