Date,Open,High,Low,Close
22-May-2018,12685.06,12873.46,12612.03,12829.51,
23-May-2018,12815.61,12980.70,12760.96,12781.48,
24-May-2018,12834.80,12943.50,12775.48,12908.42,
25-May-2018,12938.99,13079.32,12870.45,13044.21,
28-May-2018,13209.34,13354.49,13165.32,13319.45,
29-May-2018,13300.51,13386.74,13179.59,13213.55,
30-May-2018,13162.18,13228.98,13087.10,13111.91,
31-May-2018,13129.88,13173.76,12981.23,13002.72,
1-June-2018,13064.94,13097.27,12917.86,12945.45,
4-June-2018,13002.04,13064.23,12873.72,12886.13,
5-June-2018,12932.99,12932.99,12606.21,12706.28,
6-June-2018,12702.31,12876.24,12663.81,12859.11,
7-June-2018,12894.39,12993.23,12893.28,12956.26,
8-June-2018,12928.06,13466.06,12927.79,13424.64,
11-June-2018,13456.91,13653.59,13447.18,13493.38,
12-June-2018,13546.07,13799.11,13523.46,13755.55,
13-June-2018,13866.27,14023.24,13801.07,13835.09,
14-June-2018,13880.25,14068.57,13808.67,14037.95,
15-June-2018,14108.30,14354.41,14094.83,14301.44,
18-June-2018,14326.03,14413.14,14183.16,14311.86,
19-June-2018,14310.85,14445.79,14208.07,14227.55,
20-June-2018,14268.43,14382.43,14189.29,14272.48,
21-June-2018,14318.07,14347.85,14093.56,14113.60,
22-June-2018,14115.05,14333.39,13975.90,14298.50,
25-June-2018,14312.47,14458.18,14186.93,14211.89,
26-June-2018,14211.55,14224.84,14109.18,14128.87,
27-June-2018,14137.39,14203.85,13982.32,14080.57,
28-June-2018,14082.26,14180.71,13908.49,13921.76,
29-June-2018,13967.89,14070.03,13905.12,14003.64,
2-July-2018,14059.22,14082.87,13908.45,13961.03,
3-July-2018,13975.21,14228.30,13894.09,14212.29,
4-July-2018,14250.17,14372.22,14237.93,14326.14,
5-July-2018,14360.30,14408.18,14133.00,14151.62,
6-July-2018,14176.99,14257.68,14014.88,14045.95,
9-July-2018,14092.95,14235.64,14092.95,14208.28,
10-July-2018,14233.45,14276.69,14140.32,14187.89,
11-July-2018,14171.87,14260.08,14104.60,14134.18,
12-July-2018,14172.32,14301.73,14110.94,14158.16,
13-July-2018,14188.52,14204.87,14036.86,14057.07,
16-July-2018,14033.81,14040.02,13571.66,13598.58,
17-July-2018,13608.02,13795.68,13547.52,13770.27,
18-July-2018,13840.53,13853.49,13653.60,13689.15,
19-July-2018,13762.47,13765.96,13488.70,13518.19,
20-July-2018,13541.57,13685.93,13500.47,13661.34,
23-July-2018,13681.99,13778.84,13653.02,13759.50,
24-July-2018,13795.33,13977.20,13777.42,13960.95,
25-July-2018,13999.99,14047.47,13878.17,13910.00,
26-July-2018,13884.23,14015.32,13847.03,13965.09,
27-July-2018,13995.33,14114.52,13957.41,14027.71,
30-July-2018,14015.58,14171.94,13977.19,14122.73,
31-July-2018,14134.84,14237.02,14107.52,14205.73,
